Is_All_Star,MIN,PTS,FGM,FGA,FTM,FTA,TOV
All Star,35.0089552238806,19.87462686567164,7.217910447761194,15.159701492537314,4.343283582089552,5.394029850746269,2.511940298507463
Regular,25.665985401459853,10.414890510948904,3.9364963503649637,8.645547445255474,1.7722627737226277,2.3421897810218977,1.424087591240876
